config,label,lidar,spectral,featureset,seed,macro_f1,macro_recall,macro_precision,mean_iou,overall_accuracy,in_channels,git_commit,class,precision,recall,f1,iou,support
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,1,0.6854,0.7181000000000001,0.6663250000000001,0.5317,0.7548,26,unknown,EMW,0.4566,0.6897,0.5495,0.3788,532418
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,1,0.6854,0.7181000000000001,0.6663250000000001,0.5317,0.7548,26,unknown,FSW,0.6943,0.7106,0.7024,0.5413,1459626
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,1,0.6854,0.7181000000000001,0.6663250000000001,0.5317,0.7548,26,unknown,SSW,0.6212,0.6726,0.6459,0.4769,662690
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,1,0.6854,0.7181000000000001,0.6663250000000001,0.5317,0.7548,26,unknown,UPL,0.8932,0.7995,0.8437,0.7297,3440085
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,2,0.6383,0.6798,0.6175,0.4873,0.7262,26,unknown,EMW,0.3229,0.5066,0.3944,0.2456,424418
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,2,0.6383,0.6798,0.6175,0.4873,0.7262,26,unknown,FSW,0.6319,0.7585,0.6894,0.5261,1327131
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,2,0.6383,0.6798,0.6175,0.4873,0.7262,26,unknown,SSW,0.5888,0.7092,0.6434,0.4743,793850
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,2,0.6383,0.6798,0.6175,0.4873,0.7262,26,unknown,UPL,0.9264,0.7449,0.8258,0.7032,3418375
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,3,0.6467,0.682075,0.6238,0.5061,0.8081,26,unknown,EMW,0.6844,0.7238,0.7035,0.5427,639905
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,3,0.6467,0.682075,0.6238,0.5061,0.8081,26,unknown,FSW,0.589,0.6478,0.617,0.4461,1517832
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,3,0.6467,0.682075,0.6238,0.5061,0.8081,26,unknown,SSW,0.3026,0.4898,0.3741,0.2301,317108
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,3,0.6467,0.682075,0.6238,0.5061,0.8081,26,unknown,UPL,0.9192,0.8669,0.8923,0.8055,6765731
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,4,0.6284,0.665875,0.603575,0.4842,0.8047,26,unknown,EMW,0.5036,0.6467,0.5663,0.395,549262
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,4,0.6284,0.665875,0.603575,0.4842,0.8047,26,unknown,FSW,0.528,0.7188,0.6088,0.4376,1170508
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,4,0.6284,0.665875,0.603575,0.4842,0.8047,26,unknown,SSW,0.4339,0.4305,0.4322,0.2757,623619
nwifield_chmret_leafoff,nwifield,chmret,leafoff,chmret_leafoff,4,0.6284,0.665875,0.603575,0.4842,0.8047,26,unknown,UPL,0.9488,0.8675,0.9063,0.8287,6700579
