config,seed,class,channel_index,geomorphon_value,geomorphon_form,mean_abs_shap
fld_chmret_leafon,0,SSW,7,8,footslope,2.7076504920842126e-05
fld_chmret_leafon,0,SSW,8,9,valley,2.3161701392382383e-05
fld_chmret_leafon,0,SSW,9,10,pit,4.6944151108618826e-06
fld_chmret_leafon,0,UPL,0,1,flat,4.3246538552921265e-05
fld_chmret_leafon,0,UPL,1,2,peak,3.442863089730963e-06
fld_chmret_leafon,0,UPL,2,3,ridge,1.8907299818238243e-05
fld_chmret_leafon,0,UPL,3,4,shoulder,2.2579533833777532e-05
fld_chmret_leafon,0,UPL,4,5,spur,1.767053981893696e-05
fld_chmret_leafon,0,UPL,5,6,slope,4.997100404580124e-05
fld_chmret_leafon,0,UPL,6,7,hollow,1.5535992133663967e-05
fld_chmret_leafon,0,UPL,7,8,footslope,2.643370498844888e-05
fld_chmret_leafon,0,UPL,8,9,valley,2.3164267986430787e-05
fld_chmret_leafon,0,UPL,9,10,pit,5.393470019043889e-06
fld_chmret_leafon,0,overall,0,1,flat,5.2907547797076404e-05
fld_chmret_leafon,0,overall,1,2,peak,2.963172619274701e-06
fld_chmret_leafon,0,overall,2,3,ridge,1.6645379218971357e-05
fld_chmret_leafon,0,overall,3,4,shoulder,1.9769006030401215e-05
fld_chmret_leafon,0,overall,4,5,spur,1.8271886801812798e-05
fld_chmret_leafon,0,overall,5,6,slope,4.984888437320478e-05
fld_chmret_leafon,0,overall,6,7,hollow,1.7971140550798737e-05
fld_chmret_leafon,0,overall,7,8,footslope,3.103681228822097e-05
fld_chmret_leafon,0,overall,8,9,valley,3.0977353162597865e-05
fld_chmret_leafon,0,overall,9,10,pit,6.601090717595071e-06
fld_chmret_leafon,1,EMW,0,1,flat,3.954836574848741e-05
fld_chmret_leafon,1,EMW,1,2,peak,1.6193869214475853e-06
fld_chmret_leafon,1,EMW,2,3,ridge,8.003677976375911e-06
fld_chmret_leafon,1,EMW,3,4,shoulder,7.4815361585933715e-06
fld_chmret_leafon,1,EMW,4,5,spur,8.333309779118281e-06
fld_chmret_leafon,1,EMW,5,6,slope,2.956227763206698e-05
fld_chmret_leafon,1,EMW,6,7,hollow,1.1656521564873401e-05
fld_chmret_leafon,1,EMW,7,8,footslope,1.555686685605906e-05
fld_chmret_leafon,1,EMW,8,9,valley,2.097384276567027e-05
fld_chmret_leafon,1,EMW,9,10,pit,3.6758196984010283e-06
fld_chmret_leafon,1,FSW,0,1,flat,4.4319349399302155e-05
fld_chmret_leafon,1,FSW,1,2,peak,1.7521055042379885e-06
fld_chmret_leafon,1,FSW,2,3,ridge,1.0475281669641845e-05
fld_chmret_leafon,1,FSW,3,4,shoulder,9.082398719328921e-06
fld_chmret_leafon,1,FSW,4,5,spur,1.1549613191164099e-05
fld_chmret_leafon,1,FSW,5,6,slope,3.483795080683194e-05
fld_chmret_leafon,1,FSW,6,7,hollow,1.4368915799423121e-05
fld_chmret_leafon,1,FSW,7,8,footslope,2.0417954146978445e-05
fld_chmret_leafon,1,FSW,8,9,valley,2.8575872420333326e-05
fld_chmret_leafon,1,FSW,9,10,pit,5.173266799829435e-06
fld_chmret_leafon,1,SSW,0,1,flat,4.361964965937659e-05
fld_chmret_leafon,1,SSW,1,2,peak,1.5965713373589097e-06
fld_chmret_leafon,1,SSW,2,3,ridge,7.1757262958271895e-06
fld_chmret_leafon,1,SSW,3,4,shoulder,7.99698773334967e-06
fld_chmret_leafon,1,SSW,4,5,spur,7.093561634974321e-06
fld_chmret_leafon,1,SSW,5,6,slope,2.8594842660822906e-05
fld_chmret_leafon,1,SSW,6,7,hollow,9.6136918728007e-06
fld_chmret_leafon,1,SSW,7,8,footslope,2.049079012067523e-05
fld_chmret_leafon,1,SSW,8,9,valley,1.918261477840133e-05
fld_chmret_leafon,1,SSW,9,10,pit,3.032232825717074e-06
fld_chmret_leafon,1,UPL,0,1,flat,4.7661080316174775e-05
fld_chmret_leafon,1,UPL,1,2,peak,2.2161202650750056e-06
fld_chmret_leafon,1,UPL,2,3,ridge,1.0788037798192818e-05
fld_chmret_leafon,1,UPL,3,4,shoulder,1.1297516721242573e-05
fld_chmret_leafon,1,UPL,4,5,spur,1.1603822713368572e-05
fld_chmret_leafon,1,UPL,5,6,slope,3.943003684980795e-05
fld_chmret_leafon,1,UPL,6,7,hollow,1.3257663340482395e-05
fld_chmret_leafon,1,UPL,7,8,footslope,2.2665179130854085e-05
fld_chmret_leafon,1,UPL,8,9,valley,2.095520540024154e-05
fld_chmret_leafon,1,UPL,9,10,pit,4.044634351885179e-06
fld_chmret_leafon,1,overall,0,1,flat,4.378711309982464e-05
fld_chmret_leafon,1,overall,1,2,peak,1.7960460354515817e-06
fld_chmret_leafon,1,overall,2,3,ridge,9.110681276069954e-06
fld_chmret_leafon,1,overall,3,4,shoulder,8.96461006050231e-06
fld_chmret_leafon,1,overall,4,5,spur,9.64507671596948e-06
fld_chmret_leafon,1,overall,5,6,slope,3.310627653263509e-05
fld_chmret_leafon,1,overall,6,7,hollow,1.2224199053889606e-05
fld_chmret_leafon,1,overall,7,8,footslope,1.9782699382631108e-05
fld_chmret_leafon,1,overall,8,9,valley,2.242188566015102e-05
fld_chmret_leafon,1,overall,9,10,pit,3.9814885894884355e-06
fld_chmret_leafon,2,EMW,0,1,flat,3.358911271789111e-05
fld_chmret_leafon,2,EMW,1,2,peak,1.8312015299670747e-06
fld_chmret_leafon,2,EMW,2,3,ridge,7.00602959113894e-06
fld_chmret_leafon,2,EMW,3,4,shoulder,3.972201739088632e-06
fld_chmret_leafon,2,EMW,4,5,spur,8.53096480568638e-06
fld_chmret_leafon,2,EMW,5,6,slope,3.194491000613198e-05
fld_chmret_leafon,2,EMW,6,7,hollow,1.0574781299510505e-05
fld_chmret_leafon,2,EMW,7,8,footslope,2.1712652596761473e-05
fld_chmret_leafon,2,EMW,8,9,valley,1.558897565701045e-05
fld_chmret_leafon,2,EMW,9,10,pit,3.1175829917629017e-06
fld_chmret_leafon,2,FSW,0,1,flat,3.781568739213981e-05
fld_chmret_leafon,2,FSW,1,2,peak,2.2023432393325493e-06
fld_chmret_leafon,2,FSW,2,3,ridge,1.0111974916071631e-05
fld_chmret_leafon,2,FSW,3,4,shoulder,5.705475814465899e-06
fld_chmret_leafon,2,FSW,4,5,spur,1.3261825188237708e-05
fld_chmret_leafon,2,FSW,5,6,slope,4.069429269293323e-05
fld_chmret_leafon,2,FSW,6,7,hollow,1.5129991879803129e-05
fld_chmret_leafon,2,FSW,7,8,footslope,3.089782330789603e-05
fld_chmret_leafon,2,FSW,8,9,valley,2.8300904887146316e-05
fld_chmret_leafon,2,FSW,9,10,pit,9.664076969784219e-06
fld_chmret_leafon,2,SSW,0,1,flat,3.881020165863447e-05
fld_chmret_leafon,2,SSW,1,2,peak,3.0881976726959692e-06
fld_chmret_leafon,2,SSW,2,3,ridge,1.0573304280114826e-05
fld_chmret_leafon,2,SSW,3,4,shoulder,7.017798452579882e-06
fld_chmret_leafon,2,SSW,4,5,spur,1.185411929327529e-05
fld_chmret_leafon,2,SSW,5,6,slope,4.9420086725149304e-05
fld_chmret_leafon,2,SSW,6,7,hollow,1.3016227967455052e-05
